"","HL_HO2","LL_HO2","LL_LO2","HL_LO2","FC.HLHO.div.HL_LO2","FC.HLHO.div.LL_HO2","FC.HLHO.div.LL_LO2","FC.LLHO.div.HL_LO2","FC.LLHO.div.LL_LO2","FC.LLLO.div.HL_LO2","Locus.tag","Ortholog.group","Genome.count.calc","Reference..PMID.","Curated.Product.Descriptor","Gene","Gene.Aliases","Functional.role","regulon","cofactor","substrate","Regulator.family","Merops.family","CAZY","TC.family","E.C.","evolution","Genome.count.calc.1","Loc.Sys","Loc.Cleave","protein.localization","X7002","X6803"
"A0021",48.4486779326292,34.0747379210855,51.4712178327051,39.2284918028304,1.2350379967739,1.4218356732437,0.941277085964822,0.868622176257791,0.662015381719494,1.31208760437207,"7002_A0021","cyan4763",10,"","alpha/beta hydrolase fold protein","","","Proteolysis","","","","","S33","","","","check",1,"","","cyt","7002_A0021",""
"A0022",4.30654914956704,3.78608199123172,5.36158519090678,6.38603354929798,0.674369953794005,1.13746853859496,0.803223113356648,0.592869104429921,0.706149740500793,0.839579865892842,"7002_A0022","cyan2030",9,"","WD-repeat protein involved in the control of a high-affinity transport of inorganic carbon HatR","hatR","","Transport: CO2","","","","","S09","","","","",2,"Sec","","IM 1 TM","7002_A0022","slr0143"
"A0023",23.6860203226187,34.0747379210855,20.3740237254458,34.6670392676176,0.683243242659715,0.695119662474698,1.16255976933199,0.982914567870658,1.67245991171241,0.587705906124989,"7002_A0023","cyan0952",14,"","cell division protein FtsQ","ftsQ","","Cell division","","","","","","","","","core",2,"Sec","","IM 1 TM","7002_A0023","sll1632"
"A0024",89.3608948535161,103.170734261064,107.231703818136,108.562570338066,0.8231280318368,0.866145767920933,0.833343980107522,0.950334299747961,0.962129021432331,0.987741018697461,"7002_A0024","cyan0951",14,"","cell division tubulin protein FtsZ","ftsZ","","Cell division","","","","","","","","3.4.24.-","core",2,"","","cyt-IM-assoc","7002_A0024","sll1633"
"A0025",26.915932184794,37.8608199123172,35.3864622599848,44.7022348450859,0.602116030173219,0.71091783662185,0.760627948254401,0.846955863471315,1.06992384924363,0.791603873556108,"7002_A0025","cyan7975",9,"","bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase ThiD","thiD","","Cofactor thiamin (B1) synth","","","","","","","","2.7.1.49 2.7.4.7","",1,"","","cyt","7002_A0025",""
"A0026",30.1458440469693,20.8234509517745,26.8079259545339,25.5441341971919,1.18014741913951,1.44768723093904,1.12451235869931,0.815195018591141,0.776764714550873,1.04947483236605,"7002_A0026","cyan1613",7,"18931125","GTPase associated with carbon-concentrating mechanism","","","CCM","","","","","","","","","",2,"Sec","","IM 3 TM","7002_A0026","sll0804"
"A0027",35.5290304839281,30.2886559298538,39.6757304127102,31.9301677464899,1.11271042376011,1.17301443042605,0.895485227728695,0.948590567087873,0.763405124865723,1.24257820152141,"7002_A0027","cyan10473",1,"","conserved hypothetical protein","","","","","","","","","","","","",1,"","","cyt","7002_A0027",""
"A0028",7.53646101174233,8.51868448027138,11.7954874199949,9.12290507042569,0.826103193397656,0.884697752240524,0.638927476533697,0.933768839477125,0.722198598239448,1.29295299347498,"7002_A0028","cyan4596",6,"","D-glycerate 3-kinase, plant type, GlyK","glyK","","Photorespiration (oxidative C2 cycle)","","","","","","","","2.7.1.31","",1,"","","cyt","7002_A0028",""
"A0029",23.6860203226187,21.7699714495824,26.8079259545339,27.3687152112771,0.865441440702306,1.08801338474301,0.883545424692312,0.795432715110144,0.812072201575912,0.979509843541648,"7002_A0029","cyan1918",2,"","transporter, LysE family","","","Transport","","","","","","","","","",2,"Sec","","IM 6 TM","7002_A0029","slr1627"
"A0030",6.45982372435056,7.57216398246344,8.57853630545086,13.6843576056385,0.472058967655803,0.85310140394622,0.753021668771857,0.553344497467926,0.882687175625992,0.626886299866655,"7002_A0030","cyan0410",11,"","polysaccharide pyruvyl transferase CsaB","csaB","","S layer","","","","","","","","","core",2,"","","cyt","7002_A0030","slr0688"
"A0031",93.6674440030832,84.2403243049058,81.4960949017831,75.7201120845332,1.23702199355587,1.11190744784002,1.14934886286231,1.11252244596338,1.03367313987781,1.0762806955542,"7002_A0031","cyan0792",7,"","DNA-binding stress response protein, Dps family","","","Oxidative stress","","","","","","","","1.16.3.1","",2,"","","cyt","7002_A0031","slr1894"
"A0032",801238.852463385,529934.110230713,761054.499191416,482760.416773744,1.6597028766733,1.51195938701616,1.05280088786633,1.09771657289599,0.696315586851851,1.57646416886764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A0033",62.4449626687221,73.8285988290186,70.7729245199695,87.5798886760866,0.713005732396786,0.845809938955227,0.882328419975105,0.842985757861294,1.04317575301254,0.80809562092186,"7002_A0033","cyan1993a",9,"","transporter with N-terminal DUF21 domain, CBS, and CorC domains","","","Transport","","","","","","","9.A.40","","",2,"Sec","","IM 3 TM","7002_A0033","sll0260"
"A0034",44.1421287830622,74.7751193268265,100.797801589048,85.7553076620014,0.514745150901275,0.590331773194853,0.43792749531413,0.87195908178124,0.741832839089929,1.17541181224998,"7002_A0034","cyan2981",14,"","3'-Phosphoadenosine-5'-phosphosulfate (PAPS) 3'-phosphatase CysQ","cysQ","","Sulfur metabolism","","","","","","","","","core",2,"","","cyt","7002_A0034","sll0895"
"A0035",67.8281491056809,94.652049780793,105.087069741773,87.5798886760866,0.774471743810302,0.716605179314825,0.645447144661592,1.08075097161704,0.900701199618359,1.19989955833852,"7002_A0035","cyan0935",14,"","lysyl-tRNA synthetase LysS","lysS","","Aminoacyl-tRNA biosynthesis","","","","","","","","6.1.1.6","core",2,"","","cyt","7002_A0035","slr1550"
"A0036",27.9925694721858,12.3047664715031,21.4463407636271,5.47374304225541,5.11397214960454,2.27493707718992,1.30523755920455,2.24796202096345,0.573746664156895,3.91803937416659,"7002_A0036","cyan10474",1,"","hypothetical protein","","","","","","","","","","","","",1,"","","cyt","7002_A0036",""
"A0037",16.1495593108764,25.5560534408141,39.6757304127102,38.3162012957879,0.421481221121253,0.631926965886089,0.40703873987668,0.666977742483661,0.644123074105453,1.03548183460117,"7002_A0037","cyan1162",14,"","tryptophanyl-tRNA synthetase TrpS","trpS","","Aminoacyl-tRNA biosynthesis","","","","","","","","6.1.1.2","core",2,"","","cyt","7002_A0037","slr1884"
"A0038",46.2954033578457,81.400762811482,106.159386779954,94.8782127324271,0.487945567528835,0.56873426929748,0.43609335699919,0.857950002083684,0.766778758624599,1.11890162896873,"7002_A0038","cyan1185",14,"","5, 10-methylenetetrahydrofolate reductase MetF","metF","","Qunione biosynthesis","","","","","","","","1.5.1.20","core",2,"","","cyt","7002_A0038","slr2141"
"A0039",19.3794711730517,32.1816969254696,26.8079259545339,44.7022348450859,0.433523541724717,0.602189226314979,0.722900802020983,0.719912483950618,1.20045455885135,0.599699904209172,"7002_A0039","cyan0589",9,"","phenazine biosynthetic protein PhzF homolog","","","","","","","","","","","","core",2,"","","cyt","7002_A0039","slr1019"
"A0040",377.899687874508,280.170067351147,476.108764952522,237.195531831068,1.59319901583834,1.34882249002308,0.793725542759525,1.1811776772873,0.588458117083994,2.00724171014996,"7002_A0040","cyan0443",14,"","ATP-dependent metalloprotease FtsH3","ftsH3","","Proteolysis: Protein repair","","ATP","","","M41","","","3.4.24.-","core",2,"Sec","","IM 2 TM","7002_A0040","slr1604"
"A0041",51.6785897948045,45.4329838947807,47.1819496799797,40.140782309873,1.28743354815219,1.13746853859496,1.09530424548634,1.13184101754803,0.962931464319264,1.17541181224998,"7002_A0041","cyan1400",7,"","protein of unknown function DUF490","","","","","","","","","","","","",2,"Sec","","IM 1 TM","7002_A0041","sll1586"
"A0042",113.046915176135,97.4916112742168,82.5684119399645,86.667598169044,1.30437346325946,1.15955530633467,1.36913030685792,1.12489111656309,1.18073739077243,0.952702205718403,"7002_A0042","cyan6674",2,"","conserved hypothetical protein","","","","","","","","","","","","",1,"","","cyt","7002_A0042",""
"A0043",24.7626576100105,17.0373689605428,28.9525600308966,20.0703911549365,1.23379048364585,1.453432021538,0.855283870703838,0.848880763161023,0.588458117083994,1.44255086048861,"7002_A0043","cyan2883",9,"","lycopene cyclase CruP","cruP","","Carotenoids","","FAD","","","","","","","core",2,"","","cyt-TM assoc","7002_A0043","sll0659"
"A0044",10.7663728739176,17.0373689605428,13.9401214963576,16.4212291267662,0.655637455077505,0.631926965886089,0.772329916689084,1.03752093275236,1.22218224317445,0.848908531069429,"7002_A0044","cyan1576",5,"","uracil-DNA glycosylase superfamily protein","","","","","","","","","","","","",2,"","","cyt","7002_A0044","sll1217"
"A0045",864.539741775584,879.317542463567,692.716806665157,783.657545549566,1.1032111496729,0.983194011293599,1.24804210531228,1.12206862226652,1.26937521076865,0.883953469980775,"7002_A0045","cyan2908a",6,"","positive phototaxis two component signal transduction system, response regulator, PixG","pixG","pisG pixG rer1 taxP1","Sensory tranduction: phototaxis","","","","","","","","","",2,"","","cyt-IM assoc","7002_A0045","sll0038"
"A0046",868.846290925151,917.178362375885,613.365345839736,582.953634000201,1.49042091900717,0.947303519758651,1.41652327901839,1.57332986515968,1.49532145661116,1.05216832019873,"7002_A0046","cyan2907",6,"","positive phototaxis two component signal transduction system, response regulator, PixH","pixH","pisH pixH taxY1","Sensory tranduction: phototaxis","","","","","","","","","",2,"","","cyt-IM assoc","7002_A0046","sll0039"
"A0047",536.165369121097,636.061774526929,322.767428492588,496.286035831157,1.0803555417858,0.842945434851622,1.661150790912,1.28164350516468,1.97065043860687,0.650365726998609,"7002_A0047","cyan2906",6,"","positive phototaxis adaptor protein PixI","pixI"," pisI pixI taxW1","Sensory tranduction: phototaxis","","","","","","","","","",2,"","","cyt","7002_A0047","sll0040"
"A0048",344.523931965363,442.025072476304,217.680358750815,335.722906591665,1.02621514707783,0.779421696681771,1.58270564208206,1.31663661846563,2.03061532520856,0.64839292904007,"7002_A0048","cyan2905",10,"21712441","blue light-responsive cyanobacteriochrome PixJ","pixJ","pisJ1 pixJ1 taxD1","Sensory transduction - phototaxis","SigF","","","","","","","","",2,"","","cyt-IM assoc","7002_A0048","sll0041"
"A0049",226.09383035227,294.367874818266,172.643043147198,248.143017915579,0.911143228012121,0.7680655726847,1.30960290221193,1.18628312531612,1.70506653179928,0.695740080045024,"7002_A0049","cyan2903",6,"1860450 18604500","positive phototaxis signal transduction system, hybrid histidine kinase / response regulator PixL","pixL","hik18 pixL taxAY1","Sensory tranduction: phototaxis","","","","","","","","2.7.13.3","",2,"","","cyt","7002_A0049","sll0043"
"A0050",134.57966092397,147.657197658037,112.593289009042,135.931285549343,0.990056559680796,0.911433123874167,1.19527249011406,1.08626352690851,1.31142094664433,0.828310337491595,"7002_A0050","cyan2105",12,"","protein of unknown function DUF3318","","","","","","","","","","","","",2,"Sec","","IM 1 TM","7002_A0050","slr1949"
"A0051",506.019525074128,537.623642754904,441.794619730719,481.689387718476,1.05051001324918,0.941215163978224,1.14537276479862,1.11612100341542,1.21690853338729,0.917177398952634,"7002_A0051","cyan5460",10,"","Fur-regulated transcriptional regulator ArsR family","","","Iron homeostasis","Fur","","","ArsR","","","","","",1,"","","cyt","7002_A0051",""
"A0052",115.200189750918,167.534128112004,200.523286139914,174.247486845131,0.661129706010091,0.687622223896388,0.574497815034501,0.961472277995644,0.835484652865243,1.15079585806673,"7002_A0052","cyan2355",14,"","acetyl-CoA carboxylase biotin carboxyl carrier protein AccB","accB","fabE","Fatty Acid Biosynthesis FASII","","","","","","","","6.4.1.2","core",2,"","","cyt","7002_A0052","slr0435"
"A0053",198.101260880084,312.351764276617,340.996818141671,379.512850929709,0.521988281542475,0.634224882125675,0.580947534817701,0.823033432231441,0.915996125649614,0.898511914171858,"7002_A0053","cyan2354",14,"","translation elongation factor P Efp","efp","","Translation factors","","","","","","","","","core",2,"","","cyt","7002_A0053","slr0434"
"A0054",10.7663728739176,17.0373689605428,13.9401214963576,13.6843576056385,0.786764946093006,0.631926965886089,0.772329916689084,1.24502511930283,1.22218224317445,1.01869023728331,"7002_A0054","cyan2210",11,"17159215","competence protein ComF","comF","","Genome evolution - DNA uptake","","","","","","","","","core",2,"","","cyt","7002_A0054","slr0388"
"A0055",22.609383035227,14.197807467119,17.1570726109017,21.8949721690216,1.03262899174707,1.59245595403294,1.31778792035075,0.648450582970226,0.827519227149367,0.783607874833319,"7002_A0055","cyan5594",2,"","toxin-antitoxin system toxin PIN family","","","Toxin-antitoxin","","","","","","","","","",1,"","","cyt","7002_A0055",""
"A0056",25.8392948974023,24.6095329430062,22.5186578018085,20.0703911549365,1.28743354815219,1.04997095870304,1.1474615905095,1.2261611023437,1.09285078887028,1.12198400260225,"7002_A0056","cyan5592",1,"","toxin-antitoxin system antidote Rhh family","","","Toxin-antitoxin","","","","","","","","","",1,"","","cyt","7002_A0056",""
"A0057",143.192759223104,93.7055292829851,363.51547594348,119.510056422576,1.19816493698897,1.52811429932454,0.393911040104846,0.784080704904456,0.257775900846528,3.04171453704384,"7002_A0057","cyan10475",1,"","dioxygenase","","","","","","","","","","","","",1,"","","cyt","7002_A0057",""
"A0058",302.535077757085,348.319543193318,330.273647759858,291.020671746579,1.03956559491599,0.868556139524956,0.916013371969229,1.19688935188987,1.05463922282586,1.13488037044825,"7002_A0058","cyan2192",14,"","acetyl-CoA carboxylase carboxyltransferase beta subunit AccD","accD","","Fatty Acid Biosynthesis FASII","","","","","","","","6.4.1.2","core",2,"","","cyt","7002_A0058","sll0336"
"A0059",455.417572566715,435.399428991648,418.203644890729,378.600560422666,1.20289724890605,1.04597650396884,1.08898518253161,1.15002320256888,1.04111820714861,1.10460387175299,"7002_A0059","cyan3778",3,"","conserved hypothetical protein","","","","","","","","","","","","",1,"","","cyt","7002_A0059",""
"A0060",6.45982372435056,6.62564348465551,12.8678044581763,11.8597765915534,0.544683424218235,0.974973033081394,0.502014445847905,0.558665117635887,0.514900852448495,1.08499551899998,"7002_A0060","cyan0085",4,"","7,8-dihydro-8-oxoguanine-triphosphatase, MutT","mutT","","DNA repair","","","","","","","","","",2,"","","cyt","7002_A0060","sll1045"
"A0061",55.9851389443716,62.4703528553234,53.6158519090678,54.7374304225541,1.02279442992091,0.896187333438453,1.04419004736364,1.1412730260276,1.16514707182631,0.979509843541648,"7002_A0061","cyan2254",12,"","ribonuclease III Rnc","rnc","","","","","","","","","","3.1.26.3","core",2,"","","cyt","7002_A0061","slr0346"
"A0062",36.6056677713199,38.8073404101251,31.0971941072594,46.526815859171,0.786764946093006,0.943266592981186,1.17713732129854,0.834085455742094,1.24793704140226,0.668371422651948,"7002_A0062","cyan10476",1,"","hypothetical protein","","","","","","","","","","","","",1,"Sec","LepB","peri","7002_A0062",""
"A0063",25.8392948974023,25.5560534408141,28.9525600308966,27.3687152112771,0.944117935311607,1.01108314541774,0.892470125951831,0.933768839477125,0.882687175625992,1.05787063102498,"7002_A0063","cyan0062",11,"","membrane protein UPF0182 family","","","","","","","","","","","","core",2,"Sec","","IM 9 TM","7002_A0063","sll1060"
"A0064",90.4375321409079,61.5238323575155,47.1819496799797,44.7022348450859,2.02310986138201,1.46995934218426,1.91678242960109,1.37630327814089,1.30396969126567,1.05547183140814,"7002_A0064","cyan2789",7,"","5'-nucleotidase, UshA","ushA","","Purine conversions","","","","","","","","3.1.3.5","",2,"Sec","LepB","peri","7002_A0064","slr0306"
"A0065",36.6056677713199,44.4864633969727,45.037315603617,43.7899443380433,0.835937755223818,0.822849581111248,0.81278529327756,1.01590591332002,0.987768982248133,1.02848533571873,"7002_A0065","cyan1183",14,"","protein of unknown function DUF3571","","","","","","","","","","","","core",2,"","","cyt","7002_A0065","ssl3829"
"A0066",45.218766070454,43.5399428991648,40.7480474508916,37.4039107887453,1.20893150253315,1.03855823089105,1.10971614345326,1.16404787577094,1.06851605470515,1.08940606989022,"7002_A0066","cyan0928",9,"","protein of unknown function UPF0061 family","yidU","","","","","","","","","","","",2,"","","cyt","7002_A0066","sll1464"
"A0067",62.4449626687221,93.7055292829851,131.894995696307,75.7201120845332,0.824681329037247,0.666395709479876,0.473444518035422,1.23752496798173,0.710455531601408,1.74187533622587,"7002_A0067","cyan1665d",2,"","light-independent protochlorophyllide reductase, B subunit, BchB","bchB","","Chlorophyll biosynthesis","","","","","","","","","paralog",2,"","","cyt","7002_A0067","ssr2049"
"A0068",12.9196474487011,20.8234509517745,26.8079259545339,39.2284918028304,0.329343465806374,0.62043738468816,0.481933868013989,0.53082466326865,0.776764714550873,0.683378960610452,"7002_A0068","cyan2298a",14,"","lipid A disaccharide synthase LpxB","lpxB","","Lipopolysaccharide synth - LipidA","","","","","","GT19","","2.4.1.182","core",2,"","","cyt","7002_A0068","slr0015"
"A0069",15.0729220234847,18.9304099561586,31.0971941072594,36.4916202817027,0.413051596698828,0.796227977016472,0.484703602887632,0.518760466376181,0.608749776293787,0.852173563881234,"7002_A0069","cyan2501",14,"","acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase LpxA","lpxA","","Lipopolysaccharide synth - LipidA","","","","","","","","2.3.1.129","core",2,"","","cyt","7002_A0069","sll0379"
"A0070",7.53646101174233,19.8769304539665,31.0971941072594,46.526815859171,0.161981018313266,0.379156179531653,0.242351801443816,0.427214501721561,0.639187265108477,0.668371422651948,"7002_A0070","cyan1373",14,"","beta-hydroxyacyl-(acyl-carrier-protein) dehydratase FabZ","fabZ","","Fatty Acid Biosynthesis FASII","","","","","","","","4.2.1.-","core",2,"","","cyt","7002_A0070","sll1605"
"A0071",26.915932184794,35.9677789167014,45.037315603617,38.3162012957879,0.702468701868755,0.748334564865105,0.59763624505703,0.938709415347375,0.798621730328278,1.17541181224998,"7002_A0071","cyan6205",5,"","protein of unknown function DUF2805","","","","","","","","","","","","",1,"","","cyt","7002_A0071",""
"A0072",11.8430101613094,26.5025739386221,16.0847555727204,25.5441341971919,0.463629343233378,0.446862640162306,0.73628785391026,1.03752093275236,1.64768272783518,0.629684899419631,"7002_A0072","cyan1416",14,"","50S ribosomal subunit maturation GTPase RbgA","rbgA","","Ribosome: LSU","","","","","","","","","core",2,"","","cyt","7002_A0072","slr0267"
"A0073",51.6785897948045,74.7751193268265,99.7254845508662,92.1413412112994,0.560862139789073,0.691120124715925,0.518208460230095,0.811526274133035,0.749809536284445,1.08230988652721,"7002_A0073","cyan3129",14,"","2-phosphopyruvate hydratase (enolase) Eno","eno","","Glycolysis and Gluconeogenesis | Entner-Doudoroff Pathway","","","","","","","","4.2.1.11","core",2,"","","cyt","7002_A0073","slr0752"
"A0074",87.2076202787326,70.9890373355948,57.9051200617933,86.667598169044,1.00623095737158,1.22846602168256,1.50604333754371,0.819095473225549,1.22595441059166,0.668128819594724,"7002_A0074","cyan2237",14,"","ribosome-binding factor A RbfA","rbfA","ylqF","RNA polymerase","","","","","","","","","core",2,"","","cyt","7002_A0074","sll0754"
"A0075",71.0580609678562,73.8285988290186,63.2667052527001,71.1586595493203,0.99858627773343,0.96247337881112,1.12315096359192,1.03752093275236,1.16694236777673,0.88909355029165,"7002_A0075","cyan1915",10,"","glycoside hydrolase family 3","","","Sugar utilization","","","","","","GH3","","3.2.1.-","",2,"","","cyt","7002_A0075","sll1538"
"A0076",207.79099646661,194.983222548434,138.328897925395,221.686593211344,0.937318732073766,1.06568654344091,1.50215175269218,0.879544494432043,1.40956246650352,0.623984048478383,"7002_A0076","cyan2976a",9,"","protein of unknown function DUF4327","","","Nitrogen assimilation","NtcA","","","","","","","","",2,"","","cyt","7002_A0076","ssr1562"
"A0077",236.860203226187,209.181030015553,158.702921650841,177.896648873301,1.33144837031124,1.13232162213073,1.49247537954782,1.17585705711934,1.31806666090097,0.892107426733317,"7002_A0077","cyan2976b",5,"","conserved hypothetical protein","","","Nitrogen assimilation","NtcA","","","","","","","","",2,"","","cyt","7002_A0077","ssr1256"
"A0078",670.745030045067,444.864633969727,372.094012248931,249.967598929664,2.68332789096319,1.50775085009502,1.80262247702158,1.77968919121755,1.19557052606402,1.48856897390782,"7002_A0078","cyan0616",7,"","conserved hypothetical protein","","","","","","","","","","","","",2,"","","cyt","7002_A0078","sll0982"
"A0079",198.101260880084,194.983222548434,114.737923085405,133.194414028215,1.48730907617582,1.01599131602657,1.72655435581335,1.46389939826703,1.69937904840144,0.861431944594162,"7002_A0079","cyan1791",11,"","conserved hypothetical protein","","","","","","","","","","","","core",2,"","","cyt","7002_A0079","slr1533"
