Locus tag,Ortholog group,Genome count calc,Reference (PMID),Curated Product Descriptor,Gene,Gene Aliases,Functional role,regulon,cofactor,substrate,Regulator family,Merops family,CAZY,TC family,E.C.,evolution,Genome count calc,Loc Sys,Loc Cleave,protein localization,7002,6803
7002_A0021,cyan4763,10,,alpha/beta hydrolase fold protein,,,Proteolysis,,,,,S33,,,,check,1,,,cyt,7002_A0021,
7002_A0022,cyan2030,9,,WD-repeat protein involved in the control of a high-affinity transport of inorganic carbon HatR,hatR,,Transport: CO2,,,,,S09,,,,,2,Sec,,IM 1 TM,7002_A0022,slr0143
7002_A0023,cyan0952,14,,cell division protein FtsQ,ftsQ,,Cell division,,,,,,,,,core,2,Sec,,IM 1 TM,7002_A0023,sll1632
7002_A0024,cyan0951,14,,cell division tubulin protein FtsZ,ftsZ,,Cell division,,,,,,,,3.4.24.-,core,2,,,cyt-IM-assoc,7002_A0024,sll1633
7002_A0025,cyan7975,9,,bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase ThiD,thiD,,Cofactor thiamin (B1) synth,,,,,,,,2.7.1.49 2.7.4.7,,1,,,cyt,7002_A0025,
7002_A0026,cyan1613,7,18931125,GTPase associated with carbon-concentrating mechanism,,,CCM,,,,,,,,,,2,Sec,,IM 3 TM,7002_A0026,sll0804
7002_A0027,cyan10473,1,,conserved hypothetical protein,,,,,,,,,,,,,1,,,cyt,7002_A0027,
7002_A0028,cyan4596,6,,"D-glycerate 3-kinase, plant type, GlyK",glyK,,Photorespiration (oxidative C2 cycle),,,,,,,,2.7.1.31,,1,,,cyt,7002_A0028,
7002_A0029,cyan1918,2,,"transporter, LysE family",,,Transport,,,,,,,,,,2,Sec,,IM 6 TM,7002_A0029,slr1627
7002_A0030,cyan0410,11,,polysaccharide pyruvyl transferase CsaB,csaB,,S layer,,,,,,,,,core,2,,,cyt,7002_A0030,slr0688
7002_A0031,cyan0792,7,,"DNA-binding stress response protein, Dps family",,,Oxidative stress,,,,,,,,1.16.3.1,,2,,,cyt,7002_A0031,slr1894
7002_A0033,cyan1993a,9,,"transporter with N-terminal DUF21 domain, CBS, and CorC domains",,,Transport,,,,,,,9.A.40,,,2,Sec,,IM 3 TM,7002_A0033,sll0260
7002_A0034,cyan2981,14,,3'-Phosphoadenosine-5'-phosphosulfate (PAPS) 3'-phosphatase CysQ,cysQ,,Sulfur metabolism,,,,,,,,,core,2,,,cyt,7002_A0034,sll0895
7002_A0035,cyan0935,14,,lysyl-tRNA synthetase LysS,lysS,,Aminoacyl-tRNA biosynthesis,,,,,,,,6.1.1.6,core,2,,,cyt,7002_A0035,slr1550
7002_A0036,cyan10474,1,,hypothetical protein,,,,,,,,,,,,,1,,,cyt,7002_A0036,
7002_A0037,cyan1162,14,,tryptophanyl-tRNA synthetase TrpS,trpS,,Aminoacyl-tRNA biosynthesis,,,,,,,,6.1.1.2,core,2,,,cyt,7002_A0037,slr1884
7002_A0038,cyan1185,14,,"5, 10-methylenetetrahydrofolate reductase MetF",metF,,Qunione biosynthesis,,,,,,,,1.5.1.20,core,2,,,cyt,7002_A0038,slr2141
7002_A0039,cyan0589,9,,phenazine biosynthetic protein PhzF homolog,,,,,,,,,,,,core,2,,,cyt,7002_A0039,slr1019
7002_A0039.1^,cyan10465,1,,phenazine biosynthetic protein PhzF homolog,,,,,,,,,,,,truncated core paralog,1,,,cyt,7002_A0039.1^,
7002_A0040,cyan0443,14,,ATP-dependent metalloprotease FtsH3,ftsH3,,Proteolysis: Protein repair,,ATP,,,M41,,,3.4.24.-,core,2,Sec,,IM 2 TM,7002_A0040,slr1604
7002_A0041,cyan1400,7,,protein of unknown function DUF490,,,,,,,,,,,,,2,Sec,,IM 1 TM,7002_A0041,sll1586
7002_A0042,cyan6674,2,,conserved hypothetical protein,,,,,,,,,,,,,1,,,cyt,7002_A0042,
7002_A0043,cyan2883,9,,lycopene cyclase CruP,cruP,,Carotenoids,,FAD,,,,,,,core,2,,,cyt-TM assoc,7002_A0043,sll0659
7002_A0044,cyan1576,5,,uracil-DNA glycosylase superfamily protein,,,,,,,,,,,,,2,,,cyt,7002_A0044,sll1217
7002_A0045,cyan2908a,6,,"positive phototaxis two component signal transduction system, response regulator, PixG",pixG,pisG pixG rer1 taxP1,Sensory tranduction: phototaxis,,,,,,,,,,2,,,cyt-IM assoc,7002_A0045,sll0038
7002_A0046,cyan2907,6,,"positive phototaxis two component signal transduction system, response regulator, PixH",pixH,pisH pixH taxY1,Sensory tranduction: phototaxis,,,,,,,,,,2,,,cyt-IM assoc,7002_A0046,sll0039
7002_A0047,cyan2906,6,,positive phototaxis adaptor protein PixI,pixI, pisI pixI taxW1,Sensory tranduction: phototaxis,,,,,,,,,,2,,,cyt,7002_A0047,sll0040
7002_A0048,cyan2905,10,21712441,blue light-responsive cyanobacteriochrome PixJ,pixJ,pisJ1 pixJ1 taxD1,Sensory transduction - phototaxis,SigF,,,,,,,,,2,,,cyt-IM assoc,7002_A0048,sll0041
7002_A0049,cyan2903,6,1860450 18604500,"positive phototaxis signal transduction system, hybrid histidine kinase / response regulator PixL",pixL,hik18 pixL taxAY1,Sensory tranduction: phototaxis,,,,,,,,2.7.13.3,,2,,,cyt,7002_A0049,sll0043
7002_A0050,cyan2105,12,,protein of unknown function DUF3318,,,,,,,,,,,,,2,Sec,,IM 1 TM,7002_A0050,slr1949
7002_A0051,cyan5460,10,,Fur-regulated transcriptional regulator ArsR family,,,Iron homeostasis,Fur,,,ArsR,,,,,,1,,,cyt,7002_A0051,
7002_A0052,cyan2355,14,,acetyl-CoA carboxylase biotin carboxyl carrier protein AccB,accB,fabE,Fatty Acid Biosynthesis FASII,,,,,,,,6.4.1.2,core,2,,,cyt,7002_A0052,slr0435
7002_A0053,cyan2354,14,,translation elongation factor P Efp,efp,,Translation factors,,,,,,,,,core,2,,,cyt,7002_A0053,slr0434
7002_A0054,cyan2210,11,17159215,competence protein ComF,comF,,Genome evolution - DNA uptake,,,,,,,,,core,2,,,cyt,7002_A0054,slr0388
7002_A0055,cyan5594,2,,toxin-antitoxin system toxin PIN family,,,Toxin-antitoxin,,,,,,,,,,1,,,cyt,7002_A0055,
7002_A0056,cyan5592,1,,toxin-antitoxin system antidote Rhh family,,,Toxin-antitoxin,,,,,,,,,,1,,,cyt,7002_A0056,
7002_A0057,cyan10475,1,,dioxygenase,,,,,,,,,,,,,1,,,cyt,7002_A0057,
7002_A0058,cyan2192,14,,acetyl-CoA carboxylase carboxyltransferase beta subunit AccD,accD,,Fatty Acid Biosynthesis FASII,,,,,,,,6.4.1.2,core,2,,,cyt,7002_A0058,sll0336
7002_A0059,cyan3778,3,,conserved hypothetical protein,,,,,,,,,,,,,1,,,cyt,7002_A0059,
7002_A0060,cyan0085,4,,"7,8-dihydro-8-oxoguanine-triphosphatase, MutT",mutT,,DNA repair,,,,,,,,,,2,,,cyt,7002_A0060,sll1045
7002_A0061,cyan2254,12,,ribonuclease III Rnc,rnc,,,,,,,,,,3.1.26.3,core,2,,,cyt,7002_A0061,slr0346
7002_A0062,cyan10476,1,,hypothetical protein,,,,,,,,,,,,,1,Sec,LepB,peri,7002_A0062,
7002_A0063,cyan0062,11,,membrane protein UPF0182 family,,,,,,,,,,,,core,2,Sec,,IM 9 TM,7002_A0063,sll1060
7002_A0064,cyan2789,7,,"5'-nucleotidase, UshA",ushA,,Purine conversions,,,,,,,,3.1.3.5,,2,Sec,LepB,peri,7002_A0064,slr0306
7002_A0065,cyan1183,14,,protein of unknown function DUF3571,,,,,,,,,,,,core,2,,,cyt,7002_A0065,ssl3829
7002_A0066,cyan0928,9,,protein of unknown function UPF0061 family,yidU,,,,,,,,,,,,2,,,cyt,7002_A0066,sll1464
7002_A0067,cyan1665d,2,,"light-independent protochlorophyllide reductase, B subunit, BchB",bchB,,Chlorophyll biosynthesis,,,,,,,,,paralog,2,,,cyt,7002_A0067,ssr2049
7002_A0068,cyan2298a,14,,lipid A disaccharide synthase LpxB,lpxB,,Lipopolysaccharide synth - LipidA,,,,,,GT19,,2.4.1.182,core,2,,,cyt,7002_A0068,slr0015
7002_A0069,cyan2501,14,,acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase LpxA,lpxA,,Lipopolysaccharide synth - LipidA,,,,,,,,2.3.1.129,core,2,,,cyt,7002_A0069,sll0379
7002_A0070,cyan1373,14,,beta-hydroxyacyl-(acyl-carrier-protein) dehydratase FabZ,fabZ,,Fatty Acid Biosynthesis FASII,,,,,,,,4.2.1.-,core,2,,,cyt,7002_A0070,sll1605
7002_A0071,cyan6205,5,,protein of unknown function DUF2805,,,,,,,,,,,,,1,,,cyt,7002_A0071,
7002_A0072,cyan1416,14,,50S ribosomal subunit maturation GTPase RbgA,rbgA,,Ribosome: LSU,,,,,,,,,core,2,,,cyt,7002_A0072,slr0267
7002_A0073,cyan3129,14,,2-phosphopyruvate hydratase (enolase) Eno,eno,,Glycolysis and Gluconeogenesis | Entner-Doudoroff Pathway,,,,,,,,4.2.1.11,core,2,,,cyt,7002_A0073,slr0752
7002_A0074,cyan2237,14,,ribosome-binding factor A RbfA,rbfA,ylqF,RNA polymerase,,,,,,,,,core,2,,,cyt,7002_A0074,sll0754
7002_A0075,cyan1915,10,,glycoside hydrolase family 3,,,Sugar utilization,,,,,,GH3,,3.2.1.-,,2,,,cyt,7002_A0075,sll1538
7002_A0076,cyan2976a,9,,protein of unknown function DUF4327,,,Nitrogen assimilation,NtcA,,,,,,,,,2,,,cyt,7002_A0076,ssr1562
7002_A0077,cyan2976b,5,,conserved hypothetical protein,,,Nitrogen assimilation,NtcA,,,,,,,,,2,,,cyt,7002_A0077,ssr1256
7002_A0078,cyan0616,7,,conserved hypothetical protein,,,,,,,,,,,,,2,,,cyt,7002_A0078,sll0982
7002_A0079,cyan1791,11,,conserved hypothetical protein,,,,,,,,,,,,core,2,,,cyt,7002_A0079,slr1533
7002_A0080^,cyan4839,8,,voltage-gated ion channel,,,Transport,,,,,,,1.A.1,,,1,Sec,,IM 7 TM,7002_A0080^,
7002_A0081,cyan0679,9,15075318 11739376 19609573,"copper-binding metallochaperone, Atx1",atx1,,Copper homeostasis,,Cu,,,,,,,core,2,,,cyt,7002_A0081,ssr2857
7002_A0082,cyan7527,2,,peptidoglycan binding protein; putative penicillin-resistant DD-carboxypeptidase,,,Proteolysis,,,,,,,,,,1,Sec,LepB,peri,7002_A0082,
7002_A0083,cyan1176,8,,cytoplasmic processing peptidase Prp2,prp2,,Proteolysis,,,,,M16,,,,check,2,,,cyt,7002_A0083,sll2009
7002_A0084,cyan0262,8,,bifunctional biotin operon repressor/biotin-[acetyl-CoA-carboxylase] ligase BirA,birA,,Cofactor biotin synth - core,,,,,,,,6.3.4.15,core,2,,,cyt,7002_A0084,sll1655
7002_A0085,cyan10477,4,,short-chain dehydrogenase/reductase,,,,,,,,,,,,,1,,,cyt,7002_A0085,
7002_A0086,cyan5458,5,,putative sulfite oxidase subunit YedY,yedY,,,,Mo,,,,,,,,1,,,cyt,7002_A0086,
7002_A0087,cyan1301,11,,sugar transporter major facilitator superfamily,,,Transport:sugar,,,,,,,2.A.1,,core,2,Sec,,IM 13 TM,7002_A0087,sll1154
7002_A0088,cyan10478,1,,hypothetical protein,,,,,,,,,,,,,1,,,cyt,7002_A0088,
7002_A0089,cyan4884,8,,conserved hypothetical protein,,,,,,,,,,,,,1,Sec,,IM 2 TM,7002_A0089,
7002_A0090,DUF820,1,,putative endonuclease DUF820 family,,,Genome evolution?,,,,,,,,,,1,,,cyt,7002_A0090,
7002_A0091,cyan1153,14,,homoserine kinase ThrB,thrB,,AA synth: Met & Thr,,,,,,,,2.7.1.39,core,2,,,cyt,7002_A0091,sll1760
7002_A0092,cyan6028,2,,conserved hypothetical protein,,,,,,,,,,,,,1,Sec,LepB,peri,7002_A0092,
7002_A0093,cyan0222,13,22711541,Mg protoporphyrin monomethylester oxidative cyclase auxiliary protein Ycf54,ycf54,,,,,,,,,,,core,2,,,cyt,7002_A0093,slr1780
7002_A0094,cyan0221,14,,pyridoxine 5'-phosphate synthase PdxJ,pdxJ,,Cofactor pyridoxin (B6) synth,,,,,,,,2.6.99.2,core,2,,,cyt,7002_A0094,slr1779
7002_A0095,cyan3208a,14,,glucose-1-phosphate adenylyltransferase GlgC,glgC,,Glycogen metabolism,,,,,,,,2.7.7.27,core,2,,,cyt,7002_A0095,slr1176
7002_A0096,cyan1252,11,,ribosomal-protein-alanine acetyltransferase RimI,rimI,,Ribosome biogenesis,,,,,,,,2.3.1.-,core,2,,,cyt,7002_A0096,slr0853
7002_A0096.1,cyan10479,1,,hypothetical protein,,,,,,,,,,,,,1,,,cyt,7002_A0096.1,
7002_A0097,cyan2949,14,,diaminopimelate decarboxylase LysA,lysA,,AA synth: Lys (DAP Pathway),,,,,,,,4.1.1.20,core,2,,,cyt,7002_A0097,sll0504
7002_A0098,cyan2948,14,,protein with nucleotide-binding domain of DisA bacterial checkpoint controller,,,Transport?,,,,,,,,,core,2,Sec,,IM 2 TM,7002_A0098,sll0505
7002_A0099,cyan2947a,14,,undecaprenyl pyrophosphate synthetase UppS,uppS,,Isoprenoid biosynthesis,,,,,,,,2.5.1.31,core,2,,,cyt,7002_A0099,sll0506
7002_A0101,cyan2041,11,20334693,cbMCalpha family metacaspase,,,Proteolysis:programmed cell death,,,,,C14B,,,3.4.22.-,core,2,Sec Bam,LepB,OM,7002_A0101,sll0148
7002_A0103,cyan0515,14,,DNA-binding protein YbaB/EbfC family,,,,,,,,,,,,core,2,,,cyt,7002_A0103,slr1847
7002_A0104,cyan3015,14,,UDP-N-acetylenolpyruvoylglucosamine reductase MurB,murB,,Peptidoglycan Biosynthesis,,NAD,,,,,,1.1.1.158,core,2,,,cyt,7002_A0104,slr1424
7002_A0105,cyan3014,14,,UDP-N-acetylmuramate-L-alanine ligase MurC,murC,,Peptidoglycan Biosynthesis,,,,,,,,6.3.2.8,core,2,Sec,,IM 1 TM,7002_A0105,slr1423
7002_A0106,cyan3013,13,,NAD(P)-dependent glyceraldehyde-3-phosphate dehydrogenase Gap2,gap2,,Glycolysis and Gluconeogenesis | Calvin-Benson cycle,Crp,,,,,,,1.2.1.13 1.2.1.12,,2,,,cyt,7002_A0106,sll1342
7002_A0107,cyan0508,7,,conserved hypothetical protein,,,Heat shock,HrcA,,,,,,,,,2,,,cyt,7002_A0107,slr1770
7002_A0108,cyan2059,12,,5'-methylthioadenosine phosphorylase MtaP,mtaP,,Methionine metabolism: salvage,,,,,,,,2.4.2.28,,2,,,cyt,7002_A0108,sll0135
7002_A0109,cyan0155,14,19820102,thioredoxin-dependent peroxiredoxin Q PrxQ-B2,prxQ-B2,,Oxidative stress,,,,,,,,1.11.1.15,core,2,Sec,LepB,peri,7002_A0109,sll0221
7002_A0110,cyan2104,14,,pyruvate dehydrogenase dihydrolipoamide acetyltransferase E2 component PdhC,pdhC,,Pyruvate metabolism II,,CoA,,,,,,2.3.1.12,core,2,,,cyt,7002_A0110,sll1841
7002_A0111,cyan10480,1,,hypothetical protein,,,junk?,,,,,,,,,,1,,,cyt,7002_A0111,
7002_A0112,cyan1998,11,,photosystem II cytochrome c550 PsbV,psbV,,Photosystem II,,heme c,,,,,,1.10.3.9,core,2,Sec,LepB,TL,7002_A0112,sll0258
7002_A0113,cyan2000,11,,sirohydrochlorin cobaltochelatase CbiK2,cbiK2,,Cofactor B12 synth: lower pathway?,,,,,,,,4.99.1.3,core,2,,,cyt,7002_A0113,slr0292
7002_A0114,cyan10481,1,,conserved hypothetical protein,,,,,,,,,,,,,1,,,cyt,7002_A0114,
7002_A0115,cyan2141,11,,glycoside hydrolase family 57,,,Sugar utilization,,,,,,GH57,,,core,2,,,cyt,7002_A0115,slr0337
7002_A0116,cyan1071,13,,oxidoreductase aldo/keto reductase family,,,,,,,,,,,,,2,,,cyt,7002_A0116,sll0867
7002_A0117,cyan1346b,6,,"glutathione peroxidase, Gpo",gpo,,,,,,,,,,,,2,,,cyt,7002_A0117,slr1171
7002_A0118,cyan3166,9,,"glutathione S-transferase, Gst",gst,,Glutathione: Non-redox reactions,,,,,,,,2.5.1.18,,2,,,cyt,7002_A0118,sll1545
7002_A0119,cyan2967,14,,single-stranded DNA-binding protein Ssb,ssb,,DNA Repair,LexA,,,,,,,,core,2,,,cyt,7002_A0119,slr0925
7002_A0120,cyan0686,11,16109926,ABC-type glutathione uptake system ATPase component GsiA,gsiA,yliA,Transport|uptake:glutathione?,,ATP,,,,,3.A.1.5,3.6.3.-,core,2,,,cyt-IM assoc,7002_A0120,sll1927
7002_A0121,cyan2932,14,,"UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase MurE",murE,,Peptidoglycan Biosynthesis,,,,,,,,6.3.2.13,core,2,,,cyt,7002_A0121,slr0528
7002_A0122,cyan0073,14,,ADP-ribose pyrophosphatase NudF,nudF,,Cofactor NAD synth,,,,,,,,3.6.1.13,core,2,,,cyt,7002_A0122,sll1054
7002_A0123,cyan1681,14,,GTP-binding protein EngA,engA,der yphC yfgK,Universal GTPases,,,,,,,,,core,2,,,cyt,7002_A0123,slr1974
7002_A0124,cyan1380,3,,conserved hypothetical protein with saccharopine dehydrogenase/reductase domain,,,,,,,,,,,,,2,,,cyt,7002_A0124,sll1601
7002_A0125,cyan10482,1,,"inner membrane formate porin, FocA",focA,,Transport FNT:formate/nitrite,,,,,,,2.A.44,,,1,Sec,,IM 6 TM,7002_A0125,
7002_A0126,cyan10483,5,,tRNA (guanosine-2'-O-)-methyltransferase TrmH,trmH,,tRNA modification,,,,,,,,2.1.1.34,,1,,,cyt,7002_A0126,
7002_A0127,cyan5518,5,,glutathione-dependent formaldehyde-activating protein,,,,,,,,,,,,,1,,,cyt,7002_A0127,
7002_A0128,cyan2651,11,16621810 19692537,transcriptional repressor of Fe-S cluster biogenesis system IscR,iscR,,Prosthetic group synth - FeS,,,,Rrf2,,,,,core,2,,,cyt,7002_A0128,slr0846
7002_A0129,cyan2650,14,19077009 21642457 18667724 18667724,CO2 responsive transcriptional repressor of low CO2-dependent gene expression AbrB family,,,CO2 fixation,,,,AbrB,,,,,core,2,,,cyt,7002_A0129,sll0822
7002_A0130,cyan2749,10,,bifunctional 4-hydroxy-2-oxoglutarate aldolase / 2-dehydro-3-deoxyphosphogluconate aldolase Eda,eda,,Entner-Doudoroff Pathway?,,,,,,,,4.1.2.14 4.1.3.16,,2,,,cyt,7002_A0130,sll0107
7002_A0131,cyan5415,5,,transcriptional regulator MerR family,,,Regulation: transcription,,,,MerR,,,,,,1,,,cyt,7002_A0131,
7002_A0132,cyan2114,7,,conserved hypothetical protein,,,,,,,,,,,,,2,Sec,,IM 2 TM,7002_A0132,ssl1807
7002_A0133,cyan0825,8,,ABC-type sugar transport system permease component,,,Transport|uptake:sugar,,,,,,,3.A.1.1,,,2,Sec,,IM 5 TM,7002_A0133,slr1202
7002_A0134,cyan2426,14,,peptidoglycan lipid II flippase MurJ,murJ,mviN,Peptidoglycan Biosynthesis,,,,,,,2.A.66,,core,2,Sec,,IM 13 TM,7002_A0134,slr0488
7002_A0135,cyan1025,14,,photosystem II reaction center protein PsbZ,psbZ,,Photosystem II: assembly,,,,,,,,,core,2,Sec,LspA,LP - TM,7002_A0135,sll1281
7002_A0136,cyan1024,14,,"6, 7-dimethyl-8-ribityllumazine synthase RibH",ribH,,Cofactor riboflavin (B2) synth,,,,,,,,2.5.1.78,core,2,,,cyt,7002_A0136,sll1282
7002_A0138,cyan2311,9,,"penicillin-binding protein, family 1A",,,Peptidoglycan Biosynthesis,,,,,,,,2.4.1.129,,2,Sec,,IM 1 TM,7002_A0138,sll0002
7002_A0139,cyan0888,11,12039966,Mn-responsive two component signal transduction system response regulator ManR,manR,,Manganese homeostasis,,,,RR,,,,,core,2,,,cyt,7002_A0139,slr1837
7002_A0140,cyan13876,6,16143848,glutamine synthetase inactivating factor family protein,,,Nitrogen assimilation - ammonium,,,,,,,,,,1,,,cyt,7002_A0140,
7002_A0141,cyan2284a,14,,ATP-dependent Clp protease ATPase subunit ClpC,clpC,,Proteolysis,,ATP,,,,,,,core,2,,,cyt,7002_A0141,sll0020
7002_A0142,cyan0435,9,,protein of unknown function DUF565 Ycf20,ycf20,,,,,,,,,,,,2,Sec,,IM 2 TM,7002_A0142,sll1509
7002_A0143,cyan0261,11,,membrane protein of unknown function DUF3611,,,,,,,,,,,,core,2,Sec,,IM 5 TM,7002_A0143,sll1656
7002_A0144,cyan3042,14,,GTPase of unknown function DUF697,,,,,,,,,,,,core,2,Sec,,IM 2 TM,7002_A0144,slr1462
7002_A0145,cyan2901,3,,conserved hypothetical protein,,,,,,,,,,,,,2,,,cyt,7002_A0145,slr0023
7002_A0146,cyan1059,14,,protein with fibronectin-binding N-terminal domain and C-terminal domain of unknown function DUF814,,,,,,,,,,,,core,2,,,cyt,7002_A0146,slr0880
7002_A0147,cyan2343,14,,60 kDa chaperonin protein GroEL2,groEL2,,Heat shock,HrcA,,,,,,,,core,2,,,cyt,7002_A0147,sll0416
7002_A0148,cyan10485,1,,"two component signal transduction system, hybrid histidine kinase with PAS domain",,,Sensory transduction,,,,,,,,2.7.13.3,,1,,,cyt,7002_A0148,
7002_A0149,cyan10486,1,,"glycosyl transferase, group 1 family protein",,,,,,,,,,,,,1,,,cyt,7002_A0149,
7002_A0150,cyan10487,1,,Ser/Thr protein phosphatase family protein,,,,,,,,,,,,,1,,,cyt,7002_A0150,
7002_A0151,cyan4279,5,,conserved membrane protein,,,,,,,,,,,,,1,Sec,,IM 11 TM,7002_A0151,
7002_A0152,cyan3196,9,,polyketide cyclase / dehydratase family protein,,,,,,,,,,,,core,2,,,cyt,7002_A0152,sll0436
7002_A0153,cyan0374,14,,protein of unknown function UPF0367 family,,,,,,,,,,,,core,2,,,cyt,7002_A0153,ssl1972
7002_A0154,cyan1236,14,,ABC-type transport system ATPase component,,,Transport,,ATP,,,,,3.A.1,3.6.3.-,core,2,,,cyt-IM assoc,7002_A0154,sll1623
7002_A0155,cyan10488,2,,"deoxyuridine 5'-triphosphate nucleotidohydrolase, Dut",dut,,,,,,,,,,3.6.1.23,,1,,,cyt,7002_A0155,
7002_A0156,cyan10489,1,,hypothetical protein,,,,,,,,,,,,,1,,,cyt,7002_A0156,
7002_A0157,cyan0008b,14,,photosystem II protein D1 PsbA,psbA,psbA3,Photosystem II,,,,,,,3.E.2.2,,paralogs,2,Sec,,TM 6 TM,7002_A0157,sll1867
7002_A0158,cyan2940,11,,soluble lytic transglycosylase Slt,slt,,Peptidoglycan turnover,,,,,,GH23,,3.2.1.-,core,2,Sec,,IM 1 TM,7002_A0158,slr0534
7002_A0159,cyan1780,8,,"omega-3 acyl-lipid desaturase, DesB",desB,,Fatty acid biosynthesis,,,,,,,,1.4.19.-,,2,Sec,,IM 4 TM,7002_A0159,sll1441
7002_A0160,cyan0871,12,,chloroplast import component Tic20 family protein YCF60,ycf60,,,,,,,,,,,core,2,Sec,,IM 4 TM,7002_A0160,sll1737
7002_A0161,cyan10490,1,,conserved hypothetical protein,,,,,,,,,,,,,1,Sec,LepB,peri,7002_A0161,
7002_A0162,cyan0277a,11,,6-phosphofructokinase Pfk,pfk,,Pentose phosphate pathway,,,,,,,,2.7.1.11,pCC7120alpha,2,,,cyt,7002_A0162,sll1196
7002_A0163,cyan3053,6,,hypothetical protein,,,,,,,,,,,,,2,,,cyt,7002_A0163,slr0654
7002_A0164,cyan8562,5,,conserved hypothetical protein,,,,,,,,,,,,,1,,,cyt,7002_A0164,
7002_A0165,cyan8192,2,,phosphoglucomutase/phosphomannomutase,,,,,,,,,,,5.4.2.8,,1,,,cyt,7002_A0165,
7002_A0166,cyan2344,11,,ABC-type transport system ATPase component,,,Transport,,ATP,,,,,3.A.1,3.6.3.-,core,2,,,cyt-IM assoc,7002_A0166,sll0415
7002_A0167,cyan0796,10,19678839 18439023,cytochrome c6c (soluble cytochrome f) PetJ1,petJ1,,Cytochrome B6-F complex,,heme c,,,,,,,,2,Sec,LepB,TL,7002_A0167,sll1796
7002_A0168,cyan2530,14,,Rho termination factor-like protein,,,,,,,,,,,,core,2,,,cyt,7002_A0168,sll0185
7002_A0169,cyan1963,14,,5-enolpyruvylshikimate-3-phosphate synthase AroA,aroA,,Chorismate synthesis from D-erythrose 4-phosphate,,,,,,,,2.5.1.19,core,2,,,cyt,7002_A0169,slr0444
7002_A0170,cyan4186,5,,"cytochrome P450, family E",,,,,,,,,,,1.14.14.1,,1,,,cyt,7002_A0170,
