Locus tag	Ortholog group	Genome count calc	Reference (PMID)	Curated Product Descriptor	Gene	Gene Aliases	Functional role	regulon	cofactor	substrate	Regulator family	Merops family	CAZY	TC family	E.C.	evolution	Genome count calc	Loc Sys	Loc Cleave	protein localization	7002	6803
7002_A0077	cyan2976b	5	na	conserved hypothetical protein	na	na	Nitrogen assimilation	NtcA	na	na	na	na	na	na	na	na	2	na	na	cyt	7002_A0077	ssr1256
7002_A0078	cyan0616	7	na	conserved hypothetical protein	na	na	na	na	na	na	na	na	na	na	na	na	2	na	na	cyt	7002_A0078	sll0982
7002_A0079	cyan1791	11	na	conserved hypothetical protein	na	na	na	na	na	na	na	na	na	na	na	core	2	na	na	cyt	7002_A0079	slr1533
7002_A0080^	cyan4839	8	na	voltage-gated ion channel	na	na	Transport	na	na	na	na	na	na	1.A.1	na	na	2	Sec	na	IM 7 TM	7002_A0080^	na
7002_A0081	cyan0679	9	15075318 11739376 19609573	"copper-binding metallochaperone, Atx1"	atx1	na	Copper homeostasis	na	Cu	na	na	na	na	na	na	core	2	na	na	cyt	7002_A0081	ssr2857
7002_A0082	cyan7527	2	na	peptidoglycan binding protein; putative penicillin-resistant DD-carboxypeptidase	na	na	Proteolysis	na	na	na	na	na	na	na	na	na	2	Sec	LepB	peri	7002_A0082	na
7002_A0083	cyan1176	8	na	cytoplasmic processing peptidase Prp2	prp2	na	Proteolysis	na	na	na	na	M16	na	na	na	check	2	na	na	cyt	7002_A0083	sll2009
7002_A0084	cyan0262	8	na	bifunctional biotin operon repressor/biotin-[acetyl-CoA-carboxylase] ligase BirA	birA	na	Cofactor biotin synth - core	na	na	na	na	na	na	na	6.3.4.15	core	2	na	na	cyt	7002_A0084	sll1655
7002_A0085	cyan10477	4	na	short-chain dehydrogenase/reductase	na	na	na	na	na	na	na	na	na	na	na	na	2	na	na	cyt	7002_A0085	na
7002_A0086	cyan5458	5	na	putative sulfite oxidase subunit YedY	yedY	na	na	na	Mo	na	na	na	na	na	na	na	2	na	na	cyt	7002_A0086	na
7002_A0087	cyan1301	11	na	sugar transporter major facilitator superfamily	na	na	Transport:sugar	na	na	na	na	na	na	2.A.1	na	core	2	Sec	na	IM 13 TM	7002_A0087	sll1154
7002_A0088	cyan10478	1	na	hypothetical protein	na	na	na	na	na	na	na	na	na	na	na	na	2	na	na	cyt	7002_A0088	na
7002_A0089	cyan4884	8	na	conserved hypothetical protein	na	na	na	na	na	na	na	na	na	na	na	na	2	Sec	na	IM 2 TM	7002_A0089	na
7002_A0090	DUF820	1	na	putative endonuclease DUF820 family	na	na	Genome evolution?	na	na	na	na	na	na	na	na	na	2	na	na	cyt	7002_A0090	na
7002_A0091	cyan1153	14	na	homoserine kinase ThrB	thrB	na	AA synth: Met & Thr	na	na	na	na	na	na	na	2.7.1.39	core	2	na	na	cyt	7002_A0091	sll1760
7002_A0092	cyan6028	2	na	conserved hypothetical protein	na	na	na	na	na	na	na	na	na	na	na	na	2	Sec	LepB	peri	7002_A0092	na
7002_A0093	cyan0222	13	22711541	Mg protoporphyrin monomethylester oxidative cyclase auxiliary protein Ycf54	ycf54	na	na	na	na	na	na	na	na	na	na	core	2	na	na	cyt	7002_A0093	slr1780
7002_A0094	cyan0221	14	na	pyridoxine 5'-phosphate synthase PdxJ	pdxJ	na	Cofactor pyridoxin (B6) synth	na	na	na	na	na	na	na	2.6.99.2	core	2	na	na	cyt	7002_A0094	slr1779
7002_A0095	cyan3208a	14	na	glucose-1-phosphate adenylyltransferase GlgC	glgC	na	Glycogen metabolism	na	na	na	na	na	na	na	2.7.7.27	core	2	na	na	cyt	7002_A0095	slr1176
7002_A0096	cyan1252	11	na	ribosomal-protein-alanine acetyltransferase RimI	rimI	na	Ribosome biogenesis	na	na	na	na	na	na	na	2.3.1.-	core	2	na	na	cyt	7002_A0096	slr0853
7002_A0096.1	cyan10479	1	na	hypothetical protein	na	na	na	na	na	na	na	na	na	na	na	na	2	na	na	cyt	7002_A0096.1	na
7002_A0097	cyan2949	14	na	diaminopimelate decarboxylase LysA	lysA	na	AA synth: Lys (DAP Pathway)	na	na	na	na	na	na	na	4.1.1.20	core	2	na	na	cyt	7002_A0097	sll0504
7002_A0098	cyan2948	14	na	protein with nucleotide-binding domain of DisA bacterial checkpoint controller	na	na	Transport?	na	na	na	na	na	na	na	na	core	2	Sec	na	IM 2 TM	7002_A0098	sll0505
7002_A0099	cyan2947a	14	na	undecaprenyl pyrophosphate synthetase UppS	uppS	na	Isoprenoid biosynthesis	na	na	na	na	na	na	na	2.5.1.31	core	2	na	na	cyt	7002_A0099	sll0506
7002_A0101	cyan2041	11	20334693	cbMCalpha family metacaspase	na	na	Proteolysis:programmed cell death	na	na	na	na	C14B	na	na	3.4.22.-	core	2	Sec Bam	LepB	OM	7002_A0101	sll0148
7002_A0103	cyan0515	14	na	DNA-binding protein YbaB/EbfC family	na	na	na	na	na	na	na	na	na	na	na	core	2	na	na	cyt	7002_A0103	slr1847
7002_A0104	cyan3015	14	na	UDP-N-acetylenolpyruvoylglucosamine reductase MurB	murB	na	Peptidoglycan Biosynthesis	na	NAD	na	na	na	na	na	1.1.1.158	core	2	na	na	cyt	7002_A0104	slr1424
7002_A0105	cyan3014	14	na	UDP-N-acetylmuramate-L-alanine ligase MurC	murC	na	Peptidoglycan Biosynthesis	na	na	na	na	na	na	na	6.3.2.8	core	2	Sec	na	IM 1 TM	7002_A0105	slr1423
7002_A0106	cyan3013	13	na	NAD(P)-dependent glyceraldehyde-3-phosphate dehydrogenase Gap2	gap2	na	Glycolysis and Gluconeogenesis | Calvin-Benson cycle	Crp	na	na	na	na	na	na	1.2.1.13 1.2.1.12	na	2	na	na	cyt	7002_A0106	sll1342
7002_A0107	cyan0508	7	na	conserved hypothetical protein	na	na	Heat shock	HrcA	na	na	na	na	na	na	na	na	2	na	na	cyt	7002_A0107	slr1770
7002_A0108	cyan2059	12	na	5'-methylthioadenosine phosphorylase MtaP	mtaP	na	Methionine metabolism: salvage	na	na	na	na	na	na	na	2.4.2.28	na	2	na	na	cyt	7002_A0108	sll0135
7002_A0109	cyan0155	14	19820102	thioredoxin-dependent peroxiredoxin Q PrxQ-B2	prxQ-B2	na	Oxidative stress	na	na	na	na	na	na	na	1.11.1.15	core	2	Sec	LepB	peri	7002_A0109	sll0221
7002_A0110	cyan2104	14	na	pyruvate dehydrogenase dihydrolipoamide acetyltransferase E2 component PdhC	pdhC	na	Pyruvate metabolism II	na	CoA	na	na	na	na	na	2.3.1.12	core	2	na	na	cyt	7002_A0110	sll1841
7002_A0111	cyan10480	1	na	hypothetical protein	na	na	junk?	na	na	na	na	na	na	na	na	na	2	na	na	cyt	7002_A0111	na
7002_A0112	cyan1998	11	na	photosystem II cytochrome c550 PsbV	psbV	na	Photosystem II	na	heme c	na	na	na	na	na	1.10.3.9	core	2	Sec	LepB	TL	7002_A0112	sll0258
7002_A0113	cyan2000	11	na	sirohydrochlorin cobaltochelatase CbiK2	cbiK2	na	Cofactor B12 synth: lower pathway?	na	na	na	na	na	na	na	4.99.1.3	core	2	na	na	cyt	7002_A0113	slr0292
7002_A0114	cyan10481	1	na	conserved hypothetical protein	na	na	na	na	na	na	na	na	na	na	na	na	2	na	na	cyt	7002_A0114	na
7002_A0115	cyan2141	11	na	glycoside hydrolase family 57	na	na	Sugar utilization	na	na	na	na	na	GH57	na	na	core	2	na	na	cyt	7002_A0115	slr0337
7002_A0116	cyan1071	13	na	oxidoreductase aldo/keto reductase family	na	na	na	na	na	na	na	na	na	na	na	na	2	na	na	cyt	7002_A0116	sll0867
7002_A0117	cyan1346b	6	na	"glutathione peroxidase, Gpo"	gpo	na	na	na	na	na	na	na	na	na	na	na	2	na	na	cyt	7002_A0117	slr1171
7002_A0118	cyan3166	9	na	"glutathione S-transferase, Gst"	gst	na	Glutathione: Non-redox reactions	na	na	na	na	na	na	na	2.5.1.18	na	2	na	na	cyt	7002_A0118	sll1545
7002_A0119	cyan2967	14	na	single-stranded DNA-binding protein Ssb	ssb	na	DNA Repair	LexA	na	na	na	na	na	na	na	core	2	na	na	cyt	7002_A0119	slr0925
7002_A0120	cyan0686	11	16109926	ABC-type glutathione uptake system ATPase component GsiA	gsiA	yliA	Transport|uptake:glutathione?	na	ATP	na	na	na	na	3.A.1.5	3.6.3.-	core	2	na	na	cyt-IM assoc	7002_A0120	sll1927
7002_A0121	cyan2932	14	na	"UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase MurE"	murE	na	Peptidoglycan Biosynthesis	na	na	na	na	na	na	na	6.3.2.13	core	2	na	na	cyt	7002_A0121	slr0528
7002_A0122	cyan0073	14	na	ADP-ribose pyrophosphatase NudF	nudF	na	Cofactor NAD synth	na	na	na	na	na	na	na	3.6.1.13	core	2	na	na	cyt	7002_A0122	sll1054
7002_A0123	cyan1681	14	na	GTP-binding protein EngA	engA	der yphC yfgK	Universal GTPases	na	na	na	na	na	na	na	na	core	2	na	na	cyt	7002_A0123	slr1974
7002_A0124	cyan1380	3	na	conserved hypothetical protein with saccharopine dehydrogenase/reductase domain	na	na	na	na	na	na	na	na	na	na	na	na	2	na	na	cyt	7002_A0124	sll1601
7002_A0125	cyan10482	1	na	"inner membrane formate porin, FocA"	focA	na	Transport FNT:formate/nitrite	na	na	na	na	na	na	2.A.44	na	na	2	Sec	na	IM 6 TM	7002_A0125	na
7002_A0126	cyan10483	5	na	tRNA (guanosine-2'-O-)-methyltransferase TrmH	trmH	na	tRNA modification	na	na	na	na	na	na	na	2.1.1.34	na	2	na	na	cyt	7002_A0126	na
7002_A0127	cyan5518	5	na	glutathione-dependent formaldehyde-activating protein	na	na	na	na	na	na	na	na	na	na	na	na	2	na	na	cyt	7002_A0127	na
7002_A0128	cyan2651	11	16621810 19692537	transcriptional repressor of Fe-S cluster biogenesis system IscR	iscR	na	Prosthetic group synth - FeS	na	na	na	Rrf2	na	na	na	na	core	2	na	na	cyt	7002_A0128	slr0846
7002_A0129	cyan2650	14	19077009 21642457 18667724 18667724	CO2 responsive transcriptional repressor of low CO2-dependent gene expression AbrB family	na	na	CO2 fixation	na	na	na	AbrB	na	na	na	na	core	2	na	na	cyt	7002_A0129	sll0822
7002_A0130	cyan2749	10	na	bifunctional 4-hydroxy-2-oxoglutarate aldolase / 2-dehydro-3-deoxyphosphogluconate aldolase Eda	eda	na	Entner-Doudoroff Pathway?	na	na	na	na	na	na	na	4.1.2.14 4.1.3.16	na	2	na	na	cyt	7002_A0130	sll0107
7002_A0131	cyan5415	5	na	transcriptional regulator MerR family	na	na	Regulation: transcription	na	na	na	MerR	na	na	na	na	na	2	na	na	cyt	7002_A0131	na
7002_A0132	cyan2114	7	na	conserved hypothetical protein	na	na	na	na	na	na	na	na	na	na	na	na	2	Sec	na	IM 2 TM	7002_A0132	ssl1807
7002_A0133	cyan0825	8	na	ABC-type sugar transport system permease component	na	na	Transport|uptake:sugar	na	na	na	na	na	na	3.A.1.1	na	na	2	Sec	na	IM 5 TM	7002_A0133	slr1202
7002_A0134	cyan2426	14	na	peptidoglycan lipid II flippase MurJ	murJ	mviN	Peptidoglycan Biosynthesis	na	na	na	na	na	na	2.A.66	na	core	2	Sec	na	IM 13 TM	7002_A0134	slr0488
7002_A0135	cyan1025	14	na	photosystem II reaction center protein PsbZ	psbZ	na	Photosystem II: assembly	na	na	na	na	na	na	na	na	core	2	Sec	LspA	LP - TM	7002_A0135	sll1281
7002_A0136	cyan1024	14	na	"6, 7-dimethyl-8-ribityllumazine synthase RibH"	ribH	na	Cofactor riboflavin (B2) synth	na	na	na	na	na	na	na	2.5.1.78	core	2	na	na	cyt	7002_A0136	sll1282
7002_A0138	cyan2311	9	na	"penicillin-binding protein, family 1A"	na	na	Peptidoglycan Biosynthesis	na	na	na	na	na	na	na	2.4.1.129	na	2	Sec	na	IM 1 TM	7002_A0138	sll0002
7002_A0139	cyan0888	11	12039966	Mn-responsive two component signal transduction system response regulator ManR	manR	na	Manganese homeostasis	na	na	na	RR	na	na	na	na	core	2	na	na	cyt	7002_A0139	slr1837
7002_A0140	cyan13876	6	16143848	glutamine synthetase inactivating factor family protein	na	na	Nitrogen assimilation - ammonium	na	na	na	na	na	na	na	na	na	2	na	na	cyt	7002_A0140	na
7002_A0141	cyan2284a	14	na	ATP-dependent Clp protease ATPase subunit ClpC	clpC	na	Proteolysis	na	ATP	na	na	na	na	na	na	core	2	na	na	cyt	7002_A0141	sll0020
7002_A0142	cyan0435	9	na	protein of unknown function DUF565 Ycf20	ycf20	na	na	na	na	na	na	na	na	na	na	na	2	Sec	na	IM 2 TM	7002_A0142	sll1509
7002_A0143	cyan0261	11	na	membrane protein of unknown function DUF3611	na	na	na	na	na	na	na	na	na	na	na	core	2	Sec	na	IM 5 TM	7002_A0143	sll1656
7002_A0144	cyan3042	14	na	GTPase of unknown function DUF697	na	na	na	na	na	na	na	na	na	na	na	core	2	Sec	na	IM 2 TM	7002_A0144	slr1462
7002_A0145	cyan2901	3	na	conserved hypothetical protein	na	na	na	na	na	na	na	na	na	na	na	na	2	na	na	cyt	7002_A0145	slr0023
7002_A0146	cyan1059	14	na	protein with fibronectin-binding N-terminal domain and C-terminal domain of unknown function DUF814	na	na	na	na	na	na	na	na	na	na	na	core	2	na	na	cyt	7002_A0146	slr0880
